Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
NP15 1BG,Yes,51.70274,-2.904914,337562,200832,SO375008,"Usk","Usk",1999-06-01,,19,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1BH,Yes,51.703797,-2.901824,337777,200947,SO377009,"Usk","Usk",1999-06-01,,22,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BJ,Yes,51.703076,-2.902099,337757,200867,SO377008,"Usk","Usk",1999-06-01,,20,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BL,Yes,51.703754,-2.896917,338116,200938,SO381009,"Usk","Usk",1999-06-01,,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BN,Yes,51.703521,-2.899213,337957,200914,SO379009,"Usk","Usk",1999-06-01,,19,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BP,Yes,51.704429,-2.896902,338118,201013,SO381010,"Usk","Usk",1999-06-01,,19,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1BQ,Yes,51.702618,-2.904759,337573,200818,SO375008,"Usk","Usk",1999-06-01,,19,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1BR,Yes,51.702535,-2.901545,337795,200806,SO377008,"Usk","Usk",2015-04-01,,19,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BS,Yes,51.704778,-2.897111,338104,201052,SO381010,"Usk","Usk",1999-06-01,,20,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1BT,Yes,51.704439,-2.898327,338020,201015,SO380010,"Usk","Usk",1999-06-01,,20,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1BU,Yes,51.704166,-2.900688,337856,200987,SO378009,"Usk","Usk",1999-06-01,,22,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BW,Yes,51.703816,-2.900536,337866,200948,SO378009,"Usk","Usk",1999-06-01,,21,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BX,Yes,51.702759,-2.898938,337975,200829,SO379008,"Usk","Usk",1999-06-01,,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BY,Yes,51.703584,-2.900401,337875,200922,SO378009,"Usk","Usk",1999-06-01,,20,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BZ,Yes,51.703984,-2.898969,337975,200965,SO379009,"Usk","Usk",1999-06-01,,20,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1DA,Yes,51.727453,-2.81451,343840,203507,SO438035,"Devauden","Llangwm",1999-06-01,,46,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1DB,Yes,51.718129,-2.842643,341885,202492,SO418024,"Llangybi Fawr","Llantrisant Fawr",1999-06-01,,24,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001565,"Monmouthshire 006D"
NP15 1DD,Yes,51.716739,-2.863114,340469,202354,SO404023,"Llanbadoc","Gwehelog Fawr",1999-06-01,,33,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1DE,Yes,51.724009,-2.81717,343652,203126,SO436031,"Devauden","Llangwm",1999-06-01,,80,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1DF,Yes,51.719398,-2.806577,344378,202605,SO443026,"Devauden","Llangwm",1999-06-01,,95,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1DG,Yes,51.72155,-2.86183,340564,202888,SO405028,"Raglan","Raglan",1999-06-01,,36,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1DH,Yes,51.725474,-2.833056,342557,203301,SO425033,"Raglan","Raglan",1999-06-01,,33,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1DJ,Yes,51.735594,-2.81651,343712,204414,SO437044,"Raglan","Raglan",1999-06-01,,38,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1DL,Yes,51.730794,-2.849394,341435,203906,SO414039,"Raglan","Raglan",1999-06-01,,33,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1DN,Yes,51.739441,-2.835899,342378,204857,SO423048,"Raglan","Raglan",1999-06-01,,32,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1DP,Yes,51.739844,-2.8512,341322,204914,SO413049,"Raglan","Raglan",1999-06-01,,33,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1DQ,Yes,51.699294,-2.905503,337517,200449,SO375004,"Usk","Usk",1999-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1DR,Yes,51.734542,-2.870476,339984,204340,SO399043,"Raglan","Raglan",1999-06-01,,65,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1DS,Yes,51.743747,-2.827584,342958,205329,SO429053,"Raglan","Raglan",1999-06-01,,101,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1DT,Yes,51.717486,-2.786176,345785,202377,SO457023,"Devauden","Devauden",1999-06-01,,99,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1DU,Yes,51.712896,-2.776477,346450,201859,SO464018,"Devauden","Devauden",1999-06-01,,112,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1DW,Yes,51.742421,-2.833338,342559,205186,SO425051,"Raglan","Raglan",1999-06-01,,53,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1DX,Yes,51.717297,-2.809123,344200,202373,SO441023,"Devauden","Llangwm",1999-06-01,,74,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1DY,Yes,51.719353,-2.861389,340592,202643,SO405026,"Raglan","Raglan",1999-06-01,,40,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1DZ,Yes,51.730774,-2.850856,341334,203905,SO413039,"Raglan","Raglan",1999-06-01,,33,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1EA,No,51.702419,-2.905631,337512,200797,SO375007,"Usk","Usk",2006-11-01,2012-02-01,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1EB,Yes,51.737777,-2.868323,340137,204698,SO401046,"Raglan","Raglan",1999-06-01,,64,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1ED,Yes,51.70264,-2.903841,337636,200820,SO376008,"Usk","Usk",1999-06-01,,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1EE,Yes,51.742267,-2.833084,342576,205169,SO425051,"Raglan","Raglan",1999-06-01,,55,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001581,"Monmouthshire 005E"
NP15 1EF,Yes,51.718653,-2.807606,344306,202523,SO443025,"Devauden","Llangwm",1999-06-01,,85,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1EG,Yes,51.702629,-2.903327,337672,200818,SO376008,"Usk","Usk",1999-06-01,,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1EH,Yes,51.696974,-2.803849,344539,200109,SO445001,"Devauden","Devauden",1999-06-01,,102,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1EJ,Yes,51.71502,-2.829688,342776,202136,SO427021,"Llangybi Fawr","Llantrisant Fawr",1999-06-01,,32,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001565,"Monmouthshire 006D"
NP15 1EL,Yes,51.666589,-2.909023,337228,196815,ST372968,"Llangybi Fawr","Llangybi",1999-06-01,,28,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001565,"Monmouthshire 006D"
NP15 1EN,Yes,51.699665,-2.879993,339280,200469,SO392004,"Llangybi Fawr","Llantrisant Fawr",1999-06-01,,40,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001565,"Monmouthshire 006D"
NP15 1EP,Yes,51.708898,-2.828201,342871,201454,SO428014,"Devauden","Llangwm",1999-06-01,,37,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1EQ,Yes,51.75021,-2.926187,336159,206130,SO361061,"Llanover","Llanarth",1999-06-01,,103,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001566,"Monmouthshire 005A"
NP15 1ER,Yes,51.711947,-2.854454,341061,201814,SO410018,"Llangybi Fawr","Llantrisant Fawr",1999-06-01,,23,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001565,"Monmouthshire 006D"
NP15 1ES,Yes,51.711713,-2.854479,341059,201788,SO410017,"Llangybi Fawr","Llantrisant Fawr",1999-06-01,,24,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001565,"Monmouthshire 006D"
NP15 1ET,Yes,51.702333,-2.838543,342148,200732,SO421007,"Devauden","Llangwm",1999-06-01,,77,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1EU,Yes,51.702413,-2.832438,342570,200736,SO425007,"Devauden","Llangwm",1999-06-01,,50,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1EW,Yes,51.703527,-2.892456,338424,200909,SO384009,"Llangybi Fawr","Llantrisant Fawr",1999-06-01,,23,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001565,"Monmouthshire 006D"
NP15 1EX,Yes,51.70807,-2.812099,343983,201349,SO439013,"Devauden","Llangwm",1999-06-01,,53,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1EY,Yes,51.704785,-2.868559,340077,201029,SO400010,"Llangybi Fawr","Llantrisant Fawr",1999-06-01,,27,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001565,"Monmouthshire 006D"
NP15 1EZ,Yes,51.700797,-2.853657,341102,200573,SO411005,"Devauden","Llangwm",1999-06-01,,53,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1FA,Yes,51.725006,-2.876365,339565,203284,SO395032,"Llanbadoc","Gwehelog Fawr",2021-03-01,,55,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1FB,Yes,51.703121,-2.900985,337834,200871,SO378008,"Usk","Usk",1999-06-01,,19,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1GA,Yes,51.71209,-2.91778,336686,201883,SO366018,"Llanbadoc","Llanbadoc",2012-03-01,,24,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1GY,Yes,51.733443,-2.928601,335969,204267,SO359042,"Llanbadoc","Gwehelog Fawr",2016-10-01,,20,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1GZ,Yes,51.704361,-2.897537,338074,201006,SO380010,"Usk","Usk",2004-10-01,,20,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1HA,Yes,51.704378,-2.837988,342189,200959,SO421009,"Devauden","Llangwm",1999-06-01,,60,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1HB,Yes,51.695568,-2.817338,343605,199963,ST436999,"Devauden","Llangwm",1999-06-01,,95,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1HD,Yes,51.678028,-2.831563,342600,198023,ST425980,"Devauden","Llangwm",1999-06-01,,123,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1HE,Yes,51.712095,-2.847741,341525,201825,SO415018,"Llangybi Fawr","Llantrisant Fawr",1999-06-01,,41,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001565,"Monmouthshire 006D"
NP15 1HF,Yes,51.710032,-2.853231,341143,201600,SO411016,"Llangybi Fawr","Llantrisant Fawr",1999-06-01,,33,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001565,"Monmouthshire 006D"
NP15 1HG,Yes,51.695301,-2.832351,342567,199945,ST425999,"Devauden","Llangwm",1999-06-01,,50,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1HH,Yes,51.689989,-2.829858,342733,199352,ST427993,"Devauden","Llangwm",1999-06-01,,89,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1HJ,Yes,51.682888,-2.811251,344010,198548,ST440985,"Devauden","Llangwm",1999-06-01,,193,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1HL,Yes,51.718599,-2.809009,344209,202518,SO442025,"Devauden","Llangwm",1999-06-01,,79,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1HN,Yes,51.703834,-2.893475,338354,200944,SO383009,"Usk","Usk",1999-06-01,,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1HP,Yes,51.695049,-2.831088,342654,199916,ST426999,"Devauden","Llangwm",1999-06-01,,53,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1HQ,Yes,51.695936,-2.830236,342714,200014,SO427000,"Devauden","Llangwm",1999-06-01,,54,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1HR,Yes,51.74367,-2.925531,336195,205402,SO361054,"Llanbadoc","Gwehelog Fawr",1999-06-01,,86,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1HS,Yes,51.730898,-2.898222,338063,203958,SO380039,"Llanbadoc","Gwehelog Fawr",1999-06-01,,73,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1HT,Yes,51.735109,-2.920279,336546,204445,SO365044,"Llanbadoc","Gwehelog Fawr",1999-06-01,,54,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1HU,Yes,51.71659,-2.903265,337695,202371,SO376023,"Llanbadoc","Gwehelog Fawr",1999-06-01,,49,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1HW,Yes,51.695044,-2.833055,342518,199917,ST425999,"Devauden","Llangwm",1999-06-01,,50,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001549,"Monmouthshire 007A"
NP15 1HX,Yes,51.711513,-2.907961,337364,201810,SO373018,"Usk","Usk",1999-06-01,,27,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1HY,Yes,51.722928,-2.916557,336786,203087,SO367030,"Llanbadoc","Gwehelog Fawr",1999-06-01,,27,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1HZ,Yes,51.724673,-2.911801,337117,203277,SO371032,"Llanbadoc","Gwehelog Fawr",1999-06-01,,32,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1JA,Yes,51.72375,-2.916814,336769,203179,SO367031,"Llanbadoc","Gwehelog Fawr",1999-06-01,,26,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1JB,Yes,51.724081,-2.91632,336804,203215,SO368032,"Llanbadoc","Gwehelog Fawr",1999-06-01,,27,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1JD,Yes,51.737473,-2.944955,334845,204730,SO348047,"Llanbadoc","Gwehelog Fawr",1999-06-01,,46,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1JE,Yes,51.725326,-2.911909,337110,203350,SO371033,"Llanbadoc","Gwehelog Fawr",1999-06-01,,34,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1JF,Yes,51.721862,-2.916863,336763,202969,SO367029,"Llanbadoc","Gwehelog Fawr",1999-06-01,,28,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1JG,Yes,51.724175,-2.917692,336709,203227,SO367032,"Llanbadoc","Gwehelog Fawr",1999-06-01,,26,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1JH,Yes,51.733261,-2.896169,338208,204219,SO382042,"Llanbadoc","Gwehelog Fawr",1999-06-01,,85,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1JJ,Yes,51.753189,-2.929686,335922,206464,SO359064,"Llanover","Llanarth",1999-06-01,,76,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001566,"Monmouthshire 005A"
NP15 1JL,Yes,51.756483,-2.937201,335408,206837,SO354068,"Llanover","Llanarth",1999-06-01,,42,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001566,"Monmouthshire 005A"
NP15 1JN,Yes,51.748801,-2.926998,336101,205974,SO361059,"Llanover","Llanarth",1999-06-01,,98,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001566,"Monmouthshire 005A"
NP15 1JP,Yes,51.75672,-2.938591,335312,206865,SO353068,"Llanover","Llanarth",1999-06-01,,40,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001566,"Monmouthshire 005A"
NP15 1JQ,Yes,51.724508,-2.916526,336790,203263,SO367032,"Llanbadoc","Gwehelog Fawr",1999-06-01,,27,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1JR,Yes,51.761991,-2.92934,335958,207443,SO359074,"Llanover","Llanarth",1999-06-01,,55,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001566,"Monmouthshire 005A"
NP15 1JS,Yes,51.752348,-2.921884,336459,206364,SO364063,"Llanover","Llanarth",1999-06-01,,128,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001566,"Monmouthshire 005A"
NP15 1JT,Yes,51.761145,-2.934032,335633,207353,SO356073,"Llanover","Llanarth",1999-06-01,,49,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001566,"Monmouthshire 005A"
NP15 1JU,Yes,51.738276,-2.944639,334868,204819,SO348048,"Llanbadoc","Gwehelog Fawr",1999-06-01,,45,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1JW,Yes,51.751284,-2.928005,336035,206251,SO360062,"Llanover","Llanarth",1999-06-01,,92,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001566,"Monmouthshire 005A"
NP15 1JX,Yes,51.734301,-2.918959,336636,204354,SO366043,"Llanbadoc","Gwehelog Fawr",1999-06-01,,54,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1JY,Yes,51.749113,-2.934615,335576,206015,SO355060,"Llanover","Llanarth",1999-06-01,,94,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001566,"Monmouthshire 005A"
NP15 1JZ,Yes,51.745728,-2.945205,334840,205648,SO348056,"Llanbadoc","Gwehelog Fawr",1999-06-01,,48,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1LA,Yes,51.740247,-2.899696,337974,204999,SO379049,"Llanbadoc","Gwehelog Fawr",1999-06-01,,125,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1LB,Yes,51.747675,-2.905377,337592,205830,SO375058,"Llanbadoc","Gwehelog Fawr",1999-06-01,,131,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1LD,Yes,51.736815,-2.935447,335501,204648,SO355046,"Llanbadoc","Gwehelog Fawr",1999-06-01,,51,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001560,"Monmouthshire 006C"
NP15 1LE,Yes,51.675334,-2.874336,339639,197758,ST396977,"Llangybi Fawr","Llantrisant Fawr",1999-06-01,,44,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001565,"Monmouthshire 006D"
